IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.171.1:2087,4,1,0.75,169,21.19
172.66.45.55:2087,4,2,0.5,167.67,21.18
104.16.41.74:2087,4,1,0.75,168.62,20.99
104.19.223.158:2087,4,4,0,42.63,30.63
104.25.250.171:2087,4,4,0,38.9,29.01
104.25.253.203:2087,4,4,0,41.32,27.13
104.19.210.50:2087,4,4,0,41.66,25.56
104.25.245.243:2087,4,4,0,41.87,25.4
104.25.249.187:2087,4,4,0,40.23,25.23
104.25.242.28:2087,4,4,0,41.2,24.9
104.25.240.254:2087,4,4,0,41.65,24.31
172.64.146.11:2087,4,4,0,42.08,24.27
104.25.251.136:2087,4,4,0,41.4,23.46
